Artist_ids,Artist_name,Artist_popularity,Artist_href,Artist_followers,Artist_genres,Artist_images,Types
2ZPQhAkvQ9P8yjdxsYddvX,Denton Hatcher,0,https://api.spotify.com/v1/artists/2ZPQhAkvQ9P8yjdxsYddvX,41,,https://i.scdn.co/image/b5065837a7764c88de01924cd23e76e60c9dd7e6,artist
2ZpwFriFFPaGFC4qYQQJ1i,System F,34,https://api.spotify.com/v1/artists/2ZpwFriFFPaGFC4qYQQJ1i,4099,,https://i.scdn.co/image/32e0109f358ba3e42a63b6f97900b98348bd4328,artist
2zq0uqN9Wq12tqrQQt1ozw,Mr. Bungle,40,https://api.spotify.com/v1/artists/2zq0uqN9Wq12tqrQQt1ozw,50516,alternative metal -  funk metal -  funk rock -  jazz metal,https://i.scdn.co/image/f108bec8a55b38f5e0143f8e7d533f15742dcdc2,artist
2ZqIiWLO4RwWASECWbNb0Q,David Lemaitre,33,https://api.spotify.com/v1/artists/2ZqIiWLO4RwWASECWbNb0Q,4678,,https://i.scdn.co/image/ea0450474ebe450f15be1989a9d16d8c7856f989,artist
2zQSe6ByItbtvzbZlBtPdE,CZuR,0,https://api.spotify.com/v1/artists/2zQSe6ByItbtvzbZlBtPdE,30,,https://i.scdn.co/image/a1f31fafad6364da661ca1171f44da52d6f1ac2a,artist
2ZQUBqlLuNr0slzIqlNNt8,Gustavo Canchola,1,https://api.spotify.com/v1/artists/2ZQUBqlLuNr0slzIqlNNt8,7,,https://i.scdn.co/image/f617b0af1876271a9cae5bf2f8602ae86fdc1a72,artist
2ZsCGoKYnfdAJT7LNg8ylP,John Houshmand,0,https://api.spotify.com/v1/artists/2ZsCGoKYnfdAJT7LNg8ylP,1,,https://i.scdn.co/image/3ca710e6be4edbb7b94a6771cb4dffb798ed07ca,artist
2zsHHjKqIJENMsOrNyV9rl,Mimax,10,https://api.spotify.com/v1/artists/2zsHHjKqIJENMsOrNyV9rl,63,,https://i.scdn.co/image/7b8330734761c9fdcd56a06fd5c132d69c9c9939,artist
2zsStamnZC4eP7rHxSN4Kh,Mike Auldridge,19,https://api.spotify.com/v1/artists/2zsStamnZC4eP7rHxSN4Kh,416,bluegrass -  progressive bluegrass,https://i.scdn.co/image/8b6e7bff4d57c020d7e68f82923fa15865e1e809,artist
2zSuB7xn6nhCbkWKd3qR14,M-LAB,0,https://api.spotify.com/v1/artists/2zSuB7xn6nhCbkWKd3qR14,16,,https://i.scdn.co/image/54fffde5c247c50d7a60934ab3bb1d7cc49dfc69,artist
2zTFTA6PWb69SGKMKRkh8w,Bo Rocha,32,https://api.spotify.com/v1/artists/2zTFTA6PWb69SGKMKRkh8w,1852,indie poptimism -  vapor soul,https://i.scdn.co/image/e7120a5582049b08144999390d6ee9170539d05f,artist
2zTJQZkq2Fx5kVjyDg4EzC,Ambassadors,18,https://api.spotify.com/v1/artists/2zTJQZkq2Fx5kVjyDg4EzC,144,,https://i.scdn.co/image/c5e64b9aad06e1afe6217aac06af2162874ceb20,artist
2ZU6xguQPXAjw6wd9mJYEQ,Alteras,14,https://api.spotify.com/v1/artists/2ZU6xguQPXAjw6wd9mJYEQ,821,post-screamo,https://i.scdn.co/image/3e69fa649f896d216cb7a092b859358441da9bb0,artist
2ZumuYFu8GWhFWQSRHNqk2,Via,7,https://api.spotify.com/v1/artists/2ZumuYFu8GWhFWQSRHNqk2,104,,https://i.scdn.co/image/ac309eb1776e744f851ddc2bd96f7d64d49e7523,artist
2zuogkOwLYyjNjkXRLbUwM,Genic,0,https://api.spotify.com/v1/artists/2zuogkOwLYyjNjkXRLbUwM,4,,https://i.scdn.co/image/1b7de7fc2633ae71827c50e4763fb81324055ee5,artist
2zviRwkdWgt0rjV3cxM7mg,Mario Ochoa,30,https://api.spotify.com/v1/artists/2zviRwkdWgt0rjV3cxM7mg,5035,funky tech house -  tech house -  tribal house,https://i.scdn.co/image/786b51ab650b5355447c333e956748bc1f1530d4,artist
2zvo7PpLvL7o13VpKHscnS,Jtruth,0,https://api.spotify.com/v1/artists/2zvo7PpLvL7o13VpKHscnS,125,,https://i.scdn.co/image/276d1ac0c8f3dcdb113df6702c6928299d2b068c,artist
2ZvrvbQNrHKwjT7qfGFFUW,Herbie Hancock,57,https://api.spotify.com/v1/artists/2ZvrvbQNrHKwjT7qfGFFUW,172586,adult standards -  bebop -  classic funk rock -  contemporary jazz -  contemporary post-bop -  cool jazz -  funk -  hard bop -  jazz -  jazz blues -  jazz christmas -  jazz funk -  jazz fusion -  soul -  soul jazz -  vocal jazz,https://i.scdn.co/image/93f320fdba9136a3c440daee1ab6122003913188,artist
2zVsfeSyFbCey7rq7PasHp,Cathy Dennis,30,https://api.spotify.com/v1/artists/2zVsfeSyFbCey7rq7PasHp,4387,freestyle -  hip house -  new wave pop -  vocal house,https://i.scdn.co/image/0c7722a46d98e1e88da1ea544a85dfd2f7145c57,artist
2ZxVMETmE5SjszSqqPGlBW,Kanka,35,https://api.spotify.com/v1/artists/2ZxVMETmE5SjszSqqPGlBW,13617,dub -  electro dub -  french reggae,https://i.scdn.co/image/48c103df7a9122932b4e617430f98cf99e243018,artist
2zyVwasA2QkaVopBFZ2RfX,Omar Sosa,37,https://api.spotify.com/v1/artists/2zyVwasA2QkaVopBFZ2RfX,5578,arab folk -  contemporary jazz -  contemporary post-bop -  dark jazz -  fourth world -  latin jazz -  world,https://i.scdn.co/image/d1fedc2ff8a4c6ce3ebbcd06cd264d76eb7c8692,artist
2ZzNXHL4wECaTB31j7K9u1,Will Clipman,28,https://api.spotify.com/v1/artists/2ZzNXHL4wECaTB31j7K9u1,118,,https://i.scdn.co/image/aa82fce8b92a9e7d84f8f5211de6676fc16ac33b,artist
308FI7BSNuJhpC10ATQBfl,Corona Guitar Kvartet,0,https://api.spotify.com/v1/artists/308FI7BSNuJhpC10ATQBfl,10,,https://i.scdn.co/image/344980259cfba10c9d616339c5b02f41595e3669,artist
308gQ5eCBIiSAHmi9tqlJ6,Lucky Dube,46,https://api.spotify.com/v1/artists/308gQ5eCBIiSAHmi9tqlJ6,36202,african gospel -  azontobeats -  dancehall -  lovers rock -  polynesian pop -  reggae -  reggae fusion -  roots reggae,https://i.scdn.co/image/5c8ebff11319a7fadd299f8adfc7deb6ca5665a1,artist
308iEfgXBI79OVR522CV9T,Menace Clan,6,https://api.spotify.com/v1/artists/308iEfgXBI79OVR522CV9T,114,dirty texas rap,https://i.scdn.co/image/40577d0cd37f88ecad14e0f987f81bade00995ae,artist
30AzZL0valZQ62OIQiFWvk,Beverley Knight,48,https://api.spotify.com/v1/artists/30AzZL0valZQ62OIQiFWvk,11005,,https://i.scdn.co/image/ae2544b33146c4303c095566bedecb142e7665f3,artist
30BDCIM0IdglDaLzvCYd0N,In Hearts Wake,49,https://api.spotify.com/v1/artists/30BDCIM0IdglDaLzvCYd0N,40728,death core -  metalcore -  post-screamo -  screamo,https://i.scdn.co/image/d922937b32813ab979691f06571138032e5db1e6,artist
30bkblbPqXZPvDnN7lqFb9,Ali Rabiee,0,https://api.spotify.com/v1/artists/30bkblbPqXZPvDnN7lqFb9,0,,https://i.scdn.co/image/aac451da250294e8331453a627931e78c5637d0d,artist
30cbaELCCz1iezxbxsArod,Frank-O,1,https://api.spotify.com/v1/artists/30cbaELCCz1iezxbxsArod,2,,https://i.scdn.co/image/08ce0d36f19e146bf8f66ddb3530005405813e34,artist
30dBkseZrMdNiIruELsoYF,Skinny Dip,0,https://api.spotify.com/v1/artists/30dBkseZrMdNiIruELsoYF,23,,https://i.scdn.co/image/ba2a4385351d407d50226294153234ffdbd40bc2,artist
